Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Geometry\Selkie.Geometry\Surveying,6,200,173,85,4,27,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions,10,872,776,233,12,92,0,4,6,0,0
C:\Development\Selkie\NUnit.Extensions\NuGet.Selkie.NUnit.Extensions,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\NuGet.Selkie.NUnit.Extensions\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\NuGet.Selkie.NUnit.Extensions\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\NuGet.Selkie.NUnit.Extensions\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions,5,289,256,79,12,33,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests,4,544,481,154,0,59,0,4,6,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\NUnit.Extensions\Selkie.NUnit.Extensions\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack,101,19505,16046,7351,263,3003,2,456,661,0,0
C:\Development\Selkie\Racetrack\NuGet.Selkie.Racetrack,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\NuGet.Selkie.Racetrack\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\NuGet.Selkie.Racetrack\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\NuGet.Selkie.Racetrack\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack,70,4100,3404,1725,254,681,0,15,55,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests,30,15366,12603,5626,9,2322,2,441,606,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\Calculators,12,3741,3051,1510,2,628,0,62,99,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\Converter,3,1863,1557,735,0,302,1,4,19,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\Properties,1,39,39,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\Turn,4,3812,3165,1268,0,488,0,159,210,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\UTurn,6,4304,3582,1558,4,655,1,67,104,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Calculators,16,1033,869,452,67,164,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Converters,3,348,289,150,24,56,0,3,10,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces,36,657,532,281,0,125,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Calculators,18,228,196,94,0,32,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Converters,4,59,49,25,0,10,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\Turn,3,77,59,33,0,18,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Interfaces\UTurn,6,177,137,78,0,40,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Properties,1,41,41,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\Turn,3,571,474,237,42,96,0,1,5,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\UTurn,6,928,760,384,70,167,0,1,4,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Racetrack\Selkie.Racetrack\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services,504,27165,21434,9914,551,3965,18,1766,6776,0,9
C:\Development\Selkie\Services\Aco,73,3520,2737,1262,57,500,2,283,1200,0,1
C:\Development\Selkie\Services\Aco.Common,17,394,255,99,0,64,0,75,384,0,0
C:\Development\Selkie\Services\Aco.Common\NuGet.Selkie.Services.Aco.Common,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco.Common\NuGet.Selkie.Services.Aco.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common,11,188,139,53,0,32,0,17,120,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common.Tests,5,167,102,44,0,24,0,41,144,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common.Tests\Messages,4,128,88,42,0,16,0,24,24,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common\Messages,10,149,125,51,0,24,0,0,0,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco.Common\Selkie.Services.Aco.Common\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\NuGet.Selkie.Services.Aco,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\NuGet.Selkie.Services.Aco\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco,17,664,530,274,14,111,0,23,156,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console,3,77,47,18,1,11,0,19,128,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console.Client,5,360,276,137,4,64,0,20,132,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console.Client\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console.Client\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console.Client\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console.Client\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Console\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow,29,1171,1003,421,23,138,1,30,172,0,1
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\Steps,24,747,644,314,17,101,0,2,13,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\Steps\Common,12,448,380,195,17,67,0,1,9,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Specflow\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests,10,830,588,260,7,116,0,126,259,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\Handlers,4,173,138,67,0,16,0,19,31,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\Handlers\XUnit,4,173,138,67,0,16,0,19,31,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\XUnit,5,618,436,191,7,92,0,90,108,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Tests\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Windows.Service,8,379,279,150,8,52,1,48,233,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Windows.Service\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Windows.Service\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Windows.Service\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco.Windows.Service\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\Handlers,4,132,115,61,1,17,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\TypedFactories,1,13,11,6,0,2,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Aco\Selkie.Services.Aco\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common,39,1862,1475,716,19,291,1,96,558,0,0
C:\Development\Selkie\Services\Common.Dto,12,244,164,71,0,46,0,34,240,0,0
C:\Development\Selkie\Services\Common.Dto\NuGet.Selkie.Services.Common.Dto,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common.Dto\NuGet.Selkie.Services.Common.Dto\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common.Dto\Selkie.Services.Common.Dto,11,205,150,69,0,38,0,17,120,0,0
C:\Development\Selkie\Services\Common.Dto\Selkie.Services.Common.Dto\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Services\Common.Dto\Selkie.Services.Common.Dto\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common.Dto\Selkie.Services.Common.Dto\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Services\Common\NuGet.Selkie.Services.Common,1,39,14,2,0,8,0,17,120,0,0
