File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\Record.cs,36,30,14,1,6,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\Something.cs,51,44,21,1,7,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\InvocationToTextConverterTests.cs,246,173,87,2,44,0,29,33,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\LoggerRepositoryTests.cs,68,48,27,0,11,0,9,9,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\StatusAspectTests.cs,159,111,70,0,27,0,21,21,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\StatusRepositoryTests.cs,109,81,38,0,16,0,12,12,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\ExceptionLoggerTests.cs,63,48,28,0,9,0,6,6,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\ExceptionToMessageConverterTests.cs,216,146,74,1,37,0,33,33,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\LogAspectTests.cs,193,145,89,5,32,0,16,16,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\MessageHandlerAspectTests.cs,185,137,84,2,30,0,18,18,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\PublishExceptionAspectTests.cs,140,108,64,2,23,0,9,9,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Aspects\StatusAttributeTests.cs,23,18,8,0,2,0,3,3,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Messages\ExceptionThrownMessageTests.cs,59,51,21,0,8,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\NuGet.Selkie.Common\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\Selkie.Common\Constants.cs,56,49,14,0,7,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Disposer.cs,135,117,57,9,18,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\DisposerExtensions.cs,23,21,9,1,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Installer.cs,6,6,2,0,0,0,0,0,0,0
